802352,13669,14250,13515
802379,522,420,332
802387,3597,3145,2690
802395,2013,2044,1794
802409,3213,2574,2354
802417,109,180,161
80292,11384,11016,10440
802905,1690,1648,1544
802913,4777,4693,4527
802921,2200,2048,1847
802930,2717,2627,2522
80314,125261,127162,123414
803057,3715,3517,3251
803065,7987,7345,6686
803073,3475,3178,3012
803081,6790,6835,6146
803090,1439,1131,1053
803103,6598,6312,6181
803111,8103,7624,7100
803120,6782,6518,6309
803138,72793,77087,76203
803146,7579,7615,7473
80349,14581,13377,11336
803324,369,366,272
803332,887,598,516
803359,1508,1374,1158
803367,898,790,560
803375,234,219,147
803383,1158,1033,905
803391,408,349,238
803405,50,24,21
803413,1313,1047,924
803421,239,216,160
803430,650,622,497
803448,4380,4270,3825
803456,1031,1094,963
803464,1456,1375,1150
RS123,553027,593666,615371
80055,17249,16268,14405
800236,6046,6087,5399
800244,1365,1228,1072
800252,1323,1113,952
800279,3272,3169,2834
800287,1538,1392,1152
800295,3705,3279,2996
80063,58835,60966,55528
800309,26780,29449,28239
800317,392,349,270
800325,3171,2968,2578
800333,2081,2096,1853
800341,1077,1012,738
800350,3363,3358,2679
800368,1002,900,794
800376,1372,1409,1220
800384,3242,3177,2944
800392,1134,1039,921
800406,4361,3835,3337
800414,2806,2849,2467
800422,3043,3102,2657
800449,5011,5423,4831
80080,15662,14681,13418
800694,7236,6727,6155
800708,2491,2283,2002
800716,3203,2976,2775
800724,2732,2695,2486
80101,14848,16086,15726
800899,618,780,743
800902,7873,8058,7839
800929,142,138,100
800937,864,801,709
800945,1357,1989,2248
800953,347,362,291
800961,1137,1132,996
800970,2510,2826,2800
80110,42685,40987,37351
800988,5625,5445,5110
800996,7437,7116,6350
801003,27155,25976,23895
801011,1218,1118,909
801020,1250,1332,1087
80136,25823,27513,26134
801305,3553,3896,3715
801313,4517,5137,5092
801321,8766,9598,9161
801330,8987,8882,8166
89010,265464,299294,341625
80284,241262,268067,307760
802743,2827,3335,3325
802751,3685,3825,3656
802778,16711,18375,17454
802786,9755,11166,11740
802794,5850,5471,5091
802808,5242,5599,5414
802824,173186,191656,231798
802859,4361,5729,6495
802875,2020,2214,2021
802883,16048,18582,18641
802891,1577,2115,2125
80519,24202,31227,33865
802760,3040,3585,3936
802816,1280,1641,1912
802832,11285,13973,14810
802867,7955,11205,12273
805149,642,823,934
80390,17365,17855,16317
804037,1952,2202,2008
804045,12798,13091,12009
804053,2615,2562,2300
80411,7534,8839,8750
804355,7534,8839,8750
80446,24939,28275,28287
804665,5426,6049,5687
804673,2542,3010,2939
804681,16971,19216,19661
80454,16218,17050,15738
804690,1077,1103,1090
804703,1452,1485,1297
804711,1302,1255,1114
804720,2552,2763,2569
804738,6007,5894,5294
804746,3828,4550,4374
80462,46405,45852,42092
804754,3940,3929,3541
804762,4548,4361,3926
804789,4713,4663,4348
804797,3579,3478,3107
804819,3592,3351,2957
