Code,Opština,Autohtono,Doseljeno,Godina
80322,Pećinci,58.7328074433657,41.2671925566343,1991
80349,Plandište,55.3941616133127,44.6058383866874,1991
80357,Ruma,49.617502494549,50.3824975054511,1991
80365,Senta,68.4758155230596,31.5241844769404,1991
80373,Sečanj,55.7019236069007,44.2980763930993,1991
80381,Sombor,57.359749168806,42.640250831194,1991
80390,Srbobran,69.2085567800106,30.7914432199894,1991
80403,Sremska mitrovica,50.4668428036869,49.5331571963131,1991
80411,Sremski karlovci,45.899202810431,54.100797189569,1991
80420,Stara pazova,51.1018312634452,48.8981687365548,1991
80438,Subotica,61.7222169766783,38.2777830233217,1991
80446,Temerin,55.8295690391894,44.1704309608107,1991
80454,Titel,51.8378412458231,48.1621587541769,1991
80462,Vrbas,55.4865243262163,44.5134756737837,1991
80489,Čoka,62.7107438016529,37.2892561983471,1991
80497,Šid,54.8677530642583,45.1322469357417,1991
70092,Barajevo,44.7319100391134,55.2680899608866,2002
70106,Voždovac,50.8562879404736,49.1437120595264,2002
70114,Vračar,52.185191547844,47.814808452156,2002
70122,Grocka,41.9815582482993,58.0184417517007,2002
70149,Zvezdara,50.3757345971564,49.6242654028436,2002
70157,Zemun,46.036947656614,53.963052343386,2002
70165,Lazarevac,50.9659314522339,49.0340685477661,2002
70173,Mladenovac,55.2972611890448,44.7027388109552,2002
70181,Novi Beograd,41.8373455141547,58.1626544858453,2002
70190,Obrenovac,46.7007730465383,53.2992269534618,2002
70203,Palilula,43.2004070224249,56.7995929775751,2002
70211,Rakovica,46.880792488377,53.119207511623,2002
70220,Savski Venac,47.8649406993469,52.1350593006531,2002
70238,Sopot,50.7073386383731,49.2926613616269,2002
70246,Stari Grad,51.7560508287692,48.2439491712308,2002
70254,Čukarica,44.6472954850246,55.3527045149754,2002
80071,Bačka Topola,55.6075744102108,44.3924255897892,2002
80241,Mali Iđoš,65.408618127786,34.591381872214,2002
80438,Subotica,57.9343033212422,42.0656966787578,2002
80144,Žitište,61.3567148049907,38.6432851950093,2002
80152,Zrenjanin,53.8918841041273,46.1081158958727,2002
80250,Nova Crnja,65.6134268379166,34.3865731620834,2002
80268,Novi Bečej,69.6899772972571,30.3100227027429,2002
80373,Sečanj,56.4496389670787,43.5503610329213,2002
80012,Ada,65.3394427766366,34.6605572233634,2002
80195,Kanjiža,66.9575969161394,33.0424030838606,2002
80209,Kikinda,63.4694670172084,36.5305329827916,2002
80276,Novi Kneževac,57.8666872634587,42.1333127365413,2002
80365,Senta,69.417152698947,30.582847301053,2002
80489,Čoka,60.8970172000871,39.1029827999129,2002
80039,Alibunar,60.7194370383321,39.2805629616679,2002
80098,Bela Crkva,61.6619870942318,38.3380129057682,2002
80128,Vršac,56.0169037996641,43.9830962003359,2002
80217,Kovačica,75.7021765677753,24.2978234322247,2002
80225,Kovin,57.6594758229471,42.3405241770529,2002
80292,Opovo,61.5048278374932,38.4951721625068,2002
80314,Pančevo,50.0189223709731,49.9810776290269,2002
80349,Plandište,52.4512743628186,47.5487256371814,2002
80047,Apatin,56.0274599542334,43.9725400457666,2002
80233,Kula,58.5568936877076,41.4431063122924,2002
80306,Odžaci,53.2719258589512,46.7280741410488,2002
80381,Sombor,54.1423618612594,45.8576381387406,2002
80055,Bač,60.6419022977885,39.3580977022115,2002
80063,Bačka Palanka,53.7346582869929,46.2653417130071,2002
80080,Bački Petrovac,66.4438685036148,33.5561314963852,2002
80101,Beočin,49.1241194439249,50.8758805560751,2002
80110,Bečej,63.5631593117458,36.4368406882542,2002
80462,Vrbas,58.1234946354281,41.8765053645719,2002
80136,Žabalj,55.4652772717336,44.5347227282664,2002
80284,Novi Sad - grad,39.5533035044475,60.4466964955525,2002
80390,Srbobran,62.2252206667791,37.7747793332209,2002
80411,Sremski Karlovci,38.7188531118444,61.2811468881557,2002
80446,Temerin,49.8457501507039,50.1542498492961,2002
80454,Titel,49.8559416710766,50.1440583289234,2002
80179,Inđija,42.6670435959049,57.3329564040951,2002
80187,Irig,50.4445713353455,49.5554286646545,2002
80322,Pećinci,55.5176761780227,44.4823238219773,2002
80357,Ruma,46.1136435739451,53.8863564260549,2002
80403,Sremska Mitrovica,50.8624208427117,49.1375791572883,2002
80420,Stara Pazova,46.6565620542083,53.3434379457917,2002
80497,Šid,43.8667938242648,56.1332061757352,2002
70289,Bogatić,68.0260119119971,31.9739880880029,2002
70408,Vladimirci,65.1760650086186,34.8239349913814,2002
70637,Koceljeva,64.1056884499455,35.8943115500545,2002
70661,Krupanj,64.9351939216368,35.0648060783632,2002
70734,Loznica,52.8237426791857,47.1762573208144,2002
70777,Ljubovija,67.8153484269333,32.1846515730667,2002
70793,Mali Zvornik,55.9769049825362,44.0230950174638,2002
71269,Šabac,52.9284448328528,47.0715551671472,2002
70360,Valjevo,56.9122465060341,43.0877534939659,2002
70700,Lajkovac,57.006874669487,42.993125330513,2002
70769,Ljig,60.4402386340259,39.5597613659741,2002
70831,Mionica,62.1294946550049,37.8705053449951,2002
70882,Osečina,65.1565401963386,34.8434598036614,2002
71218,Ub,59.1716161300406,40.8283838699594,2002
70386,Velika Plana,63.1332251667568,36.8667748332432,2002
71099,Smederevo,56.1501429628479,43.8498570371521,2002
71102,Smederevska Palanka,61.4522042385764,38.5477957614236,2002
70394,Veliko Gradište,64.9788619466446,35.0211380533554,2002
70475,Golubac,66.8014557217954,33.1985442782046,2002
70521,Žabari,74.4787258598138,25.5212741401862,2002
70530,Žagubica,81.4542263029976,18.5457736970024,2002
70696,Kučevo,70.9816670219569,29.0183329780431,2002
70807,Malo Crniće,74.9656717496567,25.0343282503433,2002
70912,Petrovac,68.7839447009962,31.2160552990038,2002
70947,Požarevac,56.5703497402389,43.4296502597611,2002
